Title,Fermi,Ticks,Label,HSP,Energy
,,,,4.514,-23.0772
,,,,4.5379,-23.077
,,,,4.5618,-23.0767
,,,,4.5857,-23.0765
,,,,4.6096,-23.0763
,,,,4.6335,-23.076
,,,,4.6574,-23.0758
,,,,4.6814,-23.0756
,,,,4.7053,-23.0754
,,,,4.7292,-23.0752
,,,,4.7531,-23.075
,,,,4.777,-23.0749
,,,,4.8009,-23.0748
,,,,4.8248,-23.0747
,,,,4.8487,-23.0747
,,,,,
,,,,0,-22.9508
,,,,0.025,-22.9508
,,,,0.05,-22.9507
,,,,0.075,-22.9505
,,,,0.1,-22.9503
,,,,0.125,-22.9501
,,,,0.15,-22.9498
,,,,0.175,-22.9496
,,,,0.2,-22.9492
,,,,0.225,-22.9489
,,,,0.25,-22.9485
,,,,0.275,-22.9482
,,,,0.3,-22.9478
,,,,0.325,-22.9475
,,,,0.35,-22.9472
,,,,0.375,-22.9469
,,,,0.4,-22.9467
,,,,0.425,-22.9465
,,,,0.45,-22.9463
,,,,0.475,-22.9462
,,,,0.5,-22.9462
,,,,0.525,-22.947
,,,,0.55,-22.9495
,,,,0.575,-22.9536
,,,,0.6,-22.9591
,,,,0.625,-22.9659
,,,,0.65,-22.9738
,,,,0.675,-22.9827
,,,,0.7,-22.9923
,,,,0.725,-23.0023
,,,,0.75,-23.0127
,,,,0.775,-23.0229
,,,,0.8,-23.0329
,,,,0.825,-23.0423
,,,,0.85,-23.051
,,,,0.875,-23.0588
,,,,0.9,-23.0654
,,,,0.925,-23.0708
,,,,0.95,-23.0746
,,,,0.975,-23.077
,,,,1,-23.0778
,,,,1.0354,-23.077
,,,,1.0707,-23.0748
,,,,1.1061,-23.071
,,,,1.1414,-23.0659
,,,,1.1768,-23.0595
,,,,1.2121,-23.052
,,,,1.2475,-23.0436
,,,,1.2828,-23.0345
,,,,1.3182,-23.0248
,,,,1.3536,-23.0149
,,,,1.3889,-23.005
,,,,1.4243,-22.9953
,,,,1.4596,-22.986
,,,,1.495,-22.9774
,,,,1.5303,-22.9697
,,,,1.5657,-22.9631
,,,,1.601,-22.9578
,,,,1.6364,-22.954
,,,,1.6718,-22.9516
,,,,1.7071,-22.9508
,,,,1.731,-22.9508
,,,,1.7549,-22.9507
,,,,1.7788,-22.9506
,,,,1.8027,-22.9505
,,,,1.8266,-22.9505
,,,,1.8506,-22.9503
,,,,1.8745,-22.9501
,,,,1.8984,-22.9499
,,,,1.9223,-22.9497
,,,,1.9462,-22.9495
,,,,1.9701,-22.9493
,,,,1.994,-22.9491
,,,,2.0179,-22.9489
,,,,2.0418,-22.9487
,,,,2.0657,-22.9486
,,,,2.0896,-22.9484
,,,,2.1135,-22.9483
,,,,2.1375,-22.9482
,,,,2.1614,-22.9482
,,,,2.1853,-22.9482
,,,,2.2103,-22.9482
,,,,2.2353,-22.9481
,,,,2.2603,-22.9479
,,,,2.2853,-22.9478
,,,,2.3103,-22.9475
,,,,2.3353,-22.9472
,,,,2.3603,-22.9469
,,,,2.3853,-22.9466
,,,,2.4103,-22.9462
,,,,2.4353,-22.9459
,,,,2.4603,-22.9456
,,,,2.4853,-22.9452
,,,,2.5103,-22.9449
,,,,2.5353,-22.9446
,,,,2.5603,-22.9443
,,,,2.5853,-22.9441
,,,,2.6103,-22.9439
,,,,2.6353,-22.9438
,,,,2.6603,-22.9437
,,,,2.6853,-22.9436
,,,,2.7103,-22.9445
,,,,2.7353,-22.947
,,,,2.7603,-22.951
,,,,2.7853,-22.9565
,,,,2.8103,-22.9633
,,,,2.8353,-22.9712
,,,,2.8603,-22.9801
,,,,2.8853,-22.9896
,,,,2.9103,-22.9996
,,,,2.9353,-23.0099
,,,,2.9603,-23.0201
,,,,2.9853,-23.03
,,,,3.0103,-23.0394
,,,,3.0353,-23.0481
,,,,3.0603,-23.0558
,,,,3.0853,-23.0624
,,,,3.1103,-23.0677
,,,,3.1353,-23.0715
,,,,3.1603,-23.0739
,,,,3.1853,-23.0747
,,,,3.2206,-23.0739
,,,,3.256,-23.0716
,,,,3.2913,-23.0679
,,,,3.3267,-23.0628
,,,,3.362,-23.0564
,,,,3.3974,-23.049
,,,,3.4328,-23.0406
,,,,3.4681,-23.0315
,,,,3.5035,-23.0219
,,,,3.5388,-23.012
,,,,3.5742,-23.0021
,,,,3.6095,-22.9924
,,,,3.6449,-22.9832
,,,,3.6802,-22.9746
,,,,3.7156,-22.967
,,,,3.751,-22.9605
,,,,3.7863,-22.9552
,,,,3.8217,-22.9513
,,,,3.857,-22.949
,,,,3.8924,-22.9482
,,,,3.8924,-22.9462
,,,,3.9163,-22.9462
,,,,3.9402,-22.9462
,,,,3.9641,-22.9461
,,,,3.988,-22.946
,,,,4.0119,-22.9459
,,,,4.0358,-22.9457
,,,,4.0597,-22.9456
,,,,4.0836,-22.9454
,,,,4.1076,-22.9452
,,,,4.1315,-22.945
,,,,4.1554,-22.9448
,,,,4.1793,-22.9446
,,,,4.2032,-22.9444
,,,,4.2271,-22.9443
,,,,4.251,-22.9441
,,,,4.2749,-22.944
,,,,4.2988,-22.9438
,,,,4.3227,-22.9437
,,,,4.3466,-22.9437
,,,,4.3705,-22.9436
,,,,4.3705,-23.0778
,,,,4.3945,-23.0778
,,,,4.4184,-23.0777
,,,,4.4423,-23.0777
,,,,4.4662,-23.0776
,,,,4.4901,-23.0774
,,,,4.514,-23.0772
,,,,4.5379,-23.077
,,,,4.5618,-23.0767
,,,,4.5857,-23.0765
,,,,4.6096,-23.0763
,,,,4.6335,-23.076
,,,,4.6574,-23.0758
,,,,4.6814,-23.0756
,,,,4.7053,-23.0754
,,,,4.7292,-23.0752
,,,,4.7531,-23.075
,,,,4.777,-23.0749
,,,,4.8009,-23.0748
,,,,4.8248,-23.0747
,,,,4.8487,-23.0747
,,,,,
,,,,0,-19.472
,,,,0.025,-19.4719
,,,,0.05,-19.4714
,,,,0.075,-19.4707
,,,,0.1,-19.4697
,,,,0.125,-19.4685
,,,,0.15,-19.467
,,,,0.175,-19.4654
,,,,0.2,-19.4637
,,,,0.225,-19.4618
,,,,0.25,-19.4599
,,,,0.275,-19.4581
,,,,0.3,-19.4562
,,,,0.325,-19.4545
,,,,0.35,-19.4529
,,,,0.375,-19.4515
,,,,0.4,-19.4503
,,,,0.425,-19.4493
,,,,0.45,-19.4486
,,,,0.475,-19.4481
,,,,0.5,-19.448
,,,,0.525,-19.4479
,,,,0.55,-19.4477
,,,,0.575,-19.4474
,,,,0.6,-19.4469
,,,,0.625,-19.4464
,,,,0.65,-19.4457
,,,,0.675,-19.445
,,,,0.7,-19.4442
,,,,0.725,-19.4433
,,,,0.75,-19.4424
,,,,0.775,-19.4416
,,,,0.8,-19.4407
,,,,0.825,-19.4399
,,,,0.85,-19.4392
,,,,0.875,-19.4385
,,,,0.9,-19.4379
,,,,0.925,-19.4375
,,,,0.95,-19.4371
,,,,0.975,-19.4369
,,,,1,-19.4369
,,,,1.0354,-19.437
,,,,1.0707,-19.4374
,,,,1.1061,-19.4381
,,,,1.1414,-19.4391
,,,,1.1768,-19.4404
,,,,1.2121,-19.442
,,,,1.2475,-19.4439
,,,,1.2828,-19.4461
,,,,1.3182,-19.4485
,,,,1.3536,-19.4512
,,,,1.3889,-19.454
,,,,1.4243,-19.4569
,,,,1.4596,-19.4598
,,,,1.495,-19.4626
,,,,1.5303,-19.4652
,,,,1.5657,-19.4675
,,,,1.601,-19.4694
,,,,1.6364,-19.4708
,,,,1.6718,-19.4717
,,,,1.7071,-19.472
,,,,1.731,-19.4719
,,,,1.7549,-19.4716
,,,,1.7788,-19.471
,,,,1.8027,-19.4703
,,,,1.8266,-19.4694
,,,,1.8506,-19.4683
,,,,1.8745,-19.4671
,,,,1.8984,-19.4658
,,,,1.9223,-19.4644
,,,,1.9462,-19.463
,,,,1.9701,-19.4616
,,,,1.994,-19.4602
,,,,2.0179,-19.4589
,,,,2.0418,-19.4577
,,,,2.0657,-19.4566
,,,,2.0896,-19.4557
,,,,2.1135,-19.455
,,,,2.1375,-19.4544
,,,,2.1614,-19.4541
,,,,2.1853,-19.454
,,,,2.2103,-19.4539
,,,,2.2353,-19.4537
,,,,2.2603,-19.4534
,,,,2.2853,-19.4529
,,,,2.3103,-19.4523
,,,,2.3353,-19.4517
,,,,2.3603,-19.4509
,,,,2.3853,-19.4501
,,,,2.4103,-19.4492
,,,,2.4353,-19.4483
,,,,2.4603,-19.4474
,,,,2.4853,-19.4465
,,,,2.5103,-19.4457
,,,,2.5353,-19.445
,,,,2.5603,-19.4443
,,,,2.5853,-19.4437
,,,,2.6103,-19.4432
,,,,2.6353,-19.4429
,,,,2.6603,-19.4427
,,,,2.6853,-19.4426
,,,,2.7103,-19.4425
,,,,2.7353,-19.4422
,,,,2.7603,-19.4418
,,,,2.7853,-19.4412
,,,,2.8103,-19.4405
,,,,2.8353,-19.4396
,,,,2.8603,-19.4387
,,,,2.8853,-19.4376
,,,,2.9103,-19.4366
,,,,2.9353,-19.4354
,,,,2.9603,-19.4343
,,,,2.9853,-19.4332
,,,,3.0103,-19.4322
,,,,3.0353,-19.4312
,,,,3.0603,-19.4304
,,,,3.0853,-19.4296
,,,,3.1103,-19.429
,,,,3.1353,-19.4286
,,,,3.1603,-19.4283
,,,,3.1853,-19.4283
,,,,3.2206,-19.4284
,,,,3.256,-19.429
,,,,3.2913,-19.4298
,,,,3.3267,-19.431
,,,,3.362,-19.4324
,,,,3.3974,-19.4341
,,,,3.4328,-19.4359
,,,,3.4681,-19.4378
,,,,3.5035,-19.4398
,,,,3.5388,-19.4419
,,,,3.5742,-19.4439
,,,,3.6095,-19.4458
,,,,3.6449,-19.4476
,,,,3.6802,-19.4492
,,,,3.7156,-19.4506
,,,,3.751,-19.4518
,,,,3.7863,-19.4528
,,,,3.8217,-19.4534
,,,,3.857,-19.4539
,,,,3.8924,-19.454
,,,,3.8924,-19.448
,,,,3.9163,-19.448
,,,,3.9402,-19.4479
,,,,3.9641,-19.4477
,,,,3.988,-19.4475
,,,,4.0119,-19.4472
,,,,4.0358,-19.4469
,,,,4.0597,-19.4465
,,,,4.0836,-19.4461
,,,,4.1076,-19.4457
,,,,4.1315,-19.4453
,,,,4.1554,-19.4449
,,,,4.1793,-19.4445
,,,,4.2032,-19.4441
,,,,4.2271,-19.4437
,,,,4.251,-19.4434
,,,,4.2749,-19.4431
,,,,4.2988,-19.4429
,,,,4.3227,-19.4427
,,,,4.3466,-19.4426
,,,,4.3705,-19.4426
,,,,4.3705,-19.4369
,,,,4.3945,-19.4368
,,,,4.4184,-19.4367
,,,,4.4423,-19.4364
,,,,4.4662,-19.436
,,,,4.4901,-19.4356
,,,,4.514,-19.4351
,,,,4.5379,-19.4345
,,,,4.5618,-19.4339
,,,,4.5857,-19.4332
,,,,4.6096,-19.4326
,,,,4.6335,-19.4319
,,,,4.6574,-19.4312
,,,,4.6814,-19.4306
,,,,4.7053,-19.43
,,,,4.7292,-19.4295
,,,,4.7531,-19.4291
,,,,4.777,-19.4287
,,,,4.8009,-19.4285
,,,,4.8248,-19.4283
,,,,4.8487,-19.4283
,,,,,
,,,,0,-9.0992
,,,,0.025,-9.0969
,,,,0.05,-9.0902
,,,,0.075,-9.0801
,,,,0.1,-9.0679
,,,,0.125,-9.0551
,,,,0.15,-9.0431
,,,,0.175,-9.0331
,,,,0.2,-9.0255
,,,,0.225,-9.0204
,,,,0.25,-9.0177
,,,,0.275,-9.0168
,,,,0.3,-9.0174
,,,,0.325,-9.019
,,,,0.35,-9.0211
,,,,0.375,-9.0235
,,,,0.4,-9.0258
,,,,0.425,-9.0278
,,,,0.45,-9.0294
,,,,0.475,-9.0304
,,,,0.5,-9.0308
,,,,0.525,-9.0267
,,,,0.55,-9.0147
,,,,0.575,-8.9955
,,,,0.6,-8.9703
,,,,0.625,-8.9408
,,,,0.65,-8.9091
,,,,0.675,-8.8775
,,,,0.7,-8.8478
,,,,0.725,-8.8213
,,,,0.75,-8.7984
,,,,0.775,-8.7792
,,,,0.8,-8.763
,,,,0.825,-8.7496
,,,,0.85,-8.7386
