Title,Fermi,Ticks,Label,HSP,Energy,Edos,Ba$(6s)$,Ba$(5p)$,Ba_tot,Ti$(4s)$,Ti$(3p)$,Ti$(3d)$,Ti_tot,O$(2s)$,O$(2p)$,O_tot,DOS
,,,,0.425,-22.6198,5.1,0,0,0,0,0,0,0,0,0,0,0
,,,,0.45,-22.6197,5.2,0,0,0,0,0,0,0,0,0,0,0
,,,,0.475,-22.6197,5.3,0,0,0,0,0,0,0,0,0,0,0
,,,,0.5,-22.6197,5.4,0,0,0,0,0,0,0,0,0,0,0
,,,,0.525,-22.6196,5.5,0,0,0,0,0,0,0,0,0,0,0
,,,,0.55,-22.6196,5.6,0,0,0,0,0,0,0,0,0,0,0
,,,,0.575,-22.6195,5.7,0,0,0,0,0,0,0,0,0,0,0
,,,,0.6,-22.6195,5.8,0,0,0,0,0,0,0,0,0,0,0
,,,,0.625,-22.6194,5.9,0.0000265,0.0000224,0.0000489,0.0334,0.000257,0.00814,0.0418,0.00116,0.188,0.189,0.232
,,,,0.65,-22.6192,6,0.000578,0.0006,0.00118,0.124,0.00142,0.099,0.224,0.00643,0.782,0.788,1.02
,,,,0.675,-22.6191,6.1,0.00336,0.00157,0.00493,0.152,0.00307,0.201,0.356,0.0101,1.15,1.16,1.53
,,,,0.7,-22.6189,6.2,0.0197,0.00765,0.0274,0.163,0.00513,0.42,0.588,0.0106,1.69,1.7,2.33
,,,,0.725,-22.6188,6.3,0.0282,0.0068,0.035,0.0829,0.00469,0.259,0.347,0.00628,1.11,1.12,1.51
,,,,0.75,-22.6186,6.4,0.0315,0.00783,0.0394,0.0488,0.00424,0.238,0.291,0.00459,0.929,0.934,1.27
,,,,0.775,-22.6185,6.5,0.03,0.00936,0.0393,0.0314,0.0047,0.47,0.506,0.00714,1.24,1.25,1.81
,,,,0.8,-22.6183,6.6,0.0349,0.0152,0.0501,0.0265,0.00581,0.538,0.57,0.0111,1.44,1.45,2.09
,,,,0.825,-22.6182,6.7,0.0446,0.0228,0.0674,0.0213,0.00619,0.49,0.517,0.0123,1.46,1.47,2.07
,,,,0.85,-22.618,6.8,0.0502,0.0271,0.0773,0.0164,0.00694,0.483,0.506,0.014,1.54,1.55,2.16
,,,,0.875,-22.6179,6.9,0.0441,0.0294,0.0735,0.0139,0.00793,0.456,0.478,0.0158,1.53,1.54,2.12
,,,,0.9,-22.6178,7,0.0335,0.0188,0.0523,0.012,0.00877,0.37,0.391,0.0164,1.37,1.38,1.85
,,,,0.925,-22.6177,7.1,0.0298,0.0245,0.0543,0.0119,0.00973,0.334,0.356,0.0169,1.38,1.4,1.83
,,,,0.95,-22.6176,7.2,0.0303,0.0469,0.0772,0.0128,0.0118,0.367,0.392,0.0179,1.65,1.67,2.17
,,,,0.975,-22.6176,7.3,0.0222,0.0445,0.0667,0.00991,0.0138,0.312,0.336,0.0162,1.66,1.68,2.12
,,,,1,-22.6176,7.4,0.0202,0.1,0.12,0.0114,0.0294,0.77,0.811,0.0233,4.16,4.18,5.24
,,,,1.0354,-22.6176,7.5,0.0183,0.0681,0.0864,0.00719,0.0266,0.403,0.437,0.0138,3.05,3.06,3.68
,,,,1.0707,-22.6177,7.6,0.0148,0.0753,0.0901,0.00402,0.0174,0.284,0.305,0.00869,2.06,2.07,2.52
,,,,1.1061,-22.6178,7.7,0.0139,0.583,0.597,0.00443,0.0172,1.37,1.39,0.00821,5.39,5.4,7.5
,,,,1.1414,-22.618,7.8,0.00959,0.12,0.13,0.0038,0.00953,0.445,0.458,0.0059,2.29,2.3,2.95
,,,,1.1768,-22.6182,7.9,0.00729,0.0669,0.0742,0.00436,0.00349,0.329,0.337,0.00539,1.6,1.61,2.07
,,,,1.2121,-22.6185,8,0.00595,0.0437,0.0496,0.00466,0.00312,0.247,0.255,0.0052,1.31,1.31,1.65
,,,,1.2475,-22.6187,8.1,0.00532,0.0317,0.037,0.00468,0.00319,0.202,0.21,0.00518,1.16,1.16,1.44
,,,,1.2828,-22.6191,8.2,0.00651,0.0235,0.03,0.00515,0.00392,0.17,0.179,0.00612,1.12,1.13,1.37
,,,,1.3182,-22.6194,8.3,0.00953,0.0182,0.0277,0.00569,0.0057,0.153,0.164,0.0083,1.23,1.23,1.46
,,,,1.3536,-22.6197,8.4,0.00978,0.014,0.0238,0.00497,0.0061,0.127,0.138,0.0081,1.17,1.18,1.37
,,,,1.3889,-22.62,8.5,0.0158,0.0116,0.0274,0.00532,0.00572,0.112,0.123,0.00979,1.25,1.26,1.44
,,,,1.4243,-22.6204,8.6,0.0214,0.012,0.0334,0.00569,0.00464,0.0917,0.102,0.0121,1.27,1.28,1.45
,,,,1.4596,-22.6207,8.7,0.0183,0.0102,0.0285,0.00397,0.00179,0.0509,0.0567,0.00969,0.882,0.892,1
,,,,1.495,-22.621,8.8,0.0151,0.0104,0.0255,0.00211,0.00103,0.0492,0.0523,0.00704,0.815,0.822,0.923
,,,,1.5303,-22.6212,8.9,0.0148,0.0174,0.0323,0.00194,0.00287,0.0723,0.0771,0.00777,1.44,1.45,1.6
,,,,1.5657,-22.6214,9,0.0192,0.0368,0.056,0.00238,0.00406,0.111,0.117,0.0125,2.63,2.64,2.88
,,,,1.601,-22.6216,9.1,0.0151,0.0507,0.0658,0.00305,0.00314,0.0981,0.104,0.0154,2.94,2.95,3.2
,,,,1.6364,-22.6218,9.2,0.0136,0.0701,0.0837,0.00272,0.00474,0.115,0.122,0.0159,3.59,3.61,3.89
,,,,1.6718,-22.6218,9.3,0.0149,0.0552,0.0701,0.00179,0.00395,0.108,0.114,0.0141,3.08,3.09,3.33
,,,,1.7071,-22.6219,9.4,0.0133,0.0499,0.0632,0.00122,0.00337,0.0969,0.101,0.0129,2.88,2.89,3.12
,,,,1.7314,-22.6221,9.5,0.0111,0.0569,0.068,0.000823,0.00283,0.091,0.0947,0.0126,3.05,3.06,3.28
,,,,1.7557,-22.6228,9.6,0.00745,0.0386,0.0461,0.000436,0.0016,0.0591,0.0611,0.00784,2.47,2.48,2.63
,,,,1.7801,-22.624,9.7,0.00378,0.0194,0.0232,0.000182,0.000905,0.0303,0.0314,0.00347,1.81,1.81,1.9
